prompts,input_tokens,output_tokens,total_time,load_time,prompt_eval_time,output_eval_time,prompt_complexity,prompt_length,output_length,device
8,493,188,67221.5621,182.5384,41662.7409,25159.4004,easy,long,short,Ultra9-185H
8,496,1102,180705.8295,188.2578,28742.1386,150578.1469,easy,long,long,Ultra9-185H
8,507,239,62432.6938,179.6616,30035.1802,31966.6137,easy,long,short,Ultra9-185H
8,510,569,123880.8151,176.6631,45300.3663,77766.8514,easy,long,long,Ultra9-185H
8,499,155,51466.1729,190.8295,30257.036,20848.0833,easy,long,short,Ultra9-185H
8,502,662,122461.6272,170.0429,30404.2017,91152.0769,easy,long,long,Ultra9-185H
8,499,151,49925.194,182.4027,31162.2661,18420.0159,easy,long,short,Ultra9-185H
8,502,552,108281.1765,148.1451,41588.1599,66000.4451,easy,long,long,Ultra9-185H
8,493,260,55056.4065,135.627,24339.9056,30310.7767,easy,long,short,Ultra9-185H
8,496,1062,152888.8257,139.3558,24343.5541,127327.6569,easy,long,long,Ultra9-185H
8,507,187,46857.0062,161.2757,24949.5413,21544.1564,easy,long,short,Ultra9-185H
8,510,611,97332.4257,143.5982,24846.9678,71704.7463,easy,long,long,Ultra9-185H
8,499,148,41480.9556,138.7188,24220.637,16966.4616,easy,long,short,Ultra9-185H
8,502,437,75997.3909,148.5607,24590.9407,50830.4921,easy,long,long,Ultra9-185H
8,499,303,73441.3447,140.5609,38119.3469,34867.6247,easy,long,short,Ultra9-185H
8,502,716,109717.1173,156.5572,24466.9672,84350.8683,easy,long,long,Ultra9-185H
8,493,270,55711.8133,135.1283,24042.5296,31256.4442,easy,long,short,Ultra9-185H
8,496,1284,179749.1803,142.7498,24247.8239,154058.1376,easy,long,long,Ultra9-185H
8,507,192,47273.5612,149.9899,24825.7053,22097.8755,easy,long,short,Ultra9-185H
8,510,648,102266.2277,143.2325,25163.1881,76308.2467,easy,long,long,Ultra9-185H
8,499,148,41760.8235,140.3964,24491.5088,16978.3498,easy,long,short,Ultra9-185H
8,502,528,86801.1106,147.5762,24411.1259,61696.2756,easy,long,long,Ultra9-185H
8,499,228,50885.5515,125.2499,24342.6584,26177.7564,easy,long,short,Ultra9-185H
8,502,577,92683.7148,135.5325,24445.2523,67518.448,easy,long,long,Ultra9-185H
8,493,202,47740.3757,133.6375,24183.9413,23216.5537,easy,long,short,Ultra9-185H
8,496,903,132135.5879,141.9161,24244.8427,106832.0231,easy,long,long,Ultra9-185H
32,1929,865,229933.1705,143.9872,20325.4222,111240.1091,easy,long,short,Ultra9-185H
32,1932,1229,269675.0641,150.1992,20504.6046,159708.9029,easy,long,long,Ultra9-185H
32,1929,736,193005.4846,157.2468,20521.7228,94497.0733,easy,long,short,Ultra9-185H
32,1932,1884,359884.4136,181.3421,31140.9706,249396.4911,easy,long,long,Ultra9-185H
32,1929,853,208299.2436,152.1039,20303.6573,110018.2158,easy,long,short,Ultra9-185H
32,1932,1048,235761.9048,141.7736,20555.8662,135987.9014,easy,long,long,Ultra9-185H
32,1929,969,254425.8961,166.2851,31282.3106,135224.5642,easy,long,short,Ultra9-185H
32,1932,2760,546601.3044,137.7738,22993.1547,407530.0808,easy,long,long,Ultra9-185H
128,7647,304,572379.3767,148.493,34223.5227,57044.5997,easy,long,short,Ultra9-185H
128,7650,213,497978.3342,160.0301,30591.9284,35076.1377,easy,long,long,Ultra9-185H
1,34,10,2561.8822,143.6888,1425.7335,979.9927,easy,short,short,Ultra9-185H
1,37,10,3249.5457,143.7625,2125.3712,970.6014,easy,short,long,Ultra9-185H
1,32,52,8056.1671,136.5703,2339.468,5520.5222,easy,short,short,Ultra9-185H
1,35,568,65025.6498,149.3919,1436.0497,62883.6147,easy,short,long,Ultra9-185H
1,32,3,1845.7948,149.6631,1469.154,222.8598,easy,short,short,Ultra9-185H
