prompts,input_tokens,output_tokens,total_time,load_time,prompt_eval_time,output_eval_time,prompt_complexity,prompt_length,output_length,device
1,81,732,43981.806375,41.374875,599.742458,43340.24875,easy,long,long,M3
1,89,11,1307.456917,42.877958,726.271083,537.8335,easy,long,short,M3
1,88,389,23252.234833,40.734708,606.32625,22604.774291,easy,long,long,M3
1,85,7,1096.279959,41.479167,736.10825,318.157875,easy,long,short,M3
1,84,654,39950.6065,41.597916,601.141333,39307.44125,easy,long,long,M3
1,92,9,1249.939292,42.918,760.528125,446.04025,easy,long,short,M3
1,91,465,28758.07675,44.023709,737.517625,27976.133833,easy,long,long,M3
1,91,4,954.05975,45.501042,745.339,162.471333,easy,long,short,M3
1,90,473,30597.654458,42.303167,619.491709,29935.321625,easy,long,long,M3
1,87,4,938.431916,42.44575,734.382791,160.690084,easy,long,short,M3
1,86,438,27101.127958,40.630417,621.373042,26438.626666,easy,long,long,M3
1,94,10,1317.1125,41.671167,787.330959,487.07075,easy,long,short,M3
1,93,492,31234.223125,42.652042,617.63475,30572.570792,easy,long,long,M3
1,83,9,1238.523083,42.629333,768.677792,426.53225,easy,long,short,M3
1,82,657,40210.198209,40.833042,607.424666,39561.428667,easy,long,long,M3
1,80,8,1168.868583,43.504167,715.665708,409.074625,easy,long,short,M3
1,79,611,38380.621917,44.920375,642.184083,37693.025625,easy,long,long,M3
1,93,2,841.941958,46.641125,740.21075,54.362917,easy,long,short,M3
1,92,652,41315.729167,41.231333,614.043458,40659.96725,easy,long,long,M3
1,86,8,1206.0285,42.710959,785.731625,376.756583,easy,long,short,M3
1,85,564,34779.648542,41.228042,625.548083,34112.31875,easy,long,long,M3
1,86,18,1737.8085,45.521042,753.037958,938.310208,easy,long,short,M3
1,85,670,40831.630709,41.747167,592.510333,40196.811375,easy,long,long,M3
1,83,3,889.164542,41.787292,738.719,107.548208,easy,long,short,M3
1,82,580,35526.112208,41.139625,614.495417,34869.968,easy,long,long,M3
1,84,57,3837.066584,42.234084,733.85525,3059.968917,easy,long,short,M3
1,83,739,45320.779209,41.320125,839.500875,44439.480917,easy,long,long,M3
1,85,19,1743.855042,41.6005,730.908666,970.564375,easy,long,short,M3
1,84,555,37199.189084,41.529292,617.902542,36539.291916,easy,long,long,M3
1,91,16,1700.12675,41.208958,824.522292,833.727666,easy,long,short,M3
1,90,603,37135.0525,41.534833,619.351084,36473.654916,easy,long,long,M3
1,86,5,1100.617917,42.785875,840.918917,216.363875,easy,long,short,M3
1,85,529,32637.019,41.379667,591.244125,32003.931125,easy,long,long,M3
1,86,10,1428.967375,40.667583,904.149,483.719417,easy,long,short,M3
1,85,493,30071.325875,41.4295,587.347583,29442.098375,easy,long,long,M3
1,96,7,1086.770541,41.546833,726.526125,317.752041,easy,long,short,M3
1,95,562,34578.097,40.499917,601.921792,33935.183833,easy,long,long,M3
1,89,11,1342.190625,42.186958,758.491958,540.971583,easy,long,short,M3
1,88,506,31589.287458,41.051125,624.511209,30923.307125,easy,long,long,M3
1,84,41,2998.315542,41.408708,814.048292,2142.227666,easy,long,short,M3
1,83,579,36385.649709,41.383292,782.357791,35561.448084,easy,long,long,M3
1,87,35,2622.368375,44.054666,744.72325,1832.873792,easy,long,short,M3
1,86,719,43913.291708,40.578208,712.32125,43159.890333,easy,long,long,M3
1,86,5,976.74925,43.595416,719.765458,212.915667,easy,long,short,M3
1,85,507,30741.389334,40.3245,601.672833,30099.020584,easy,long,long,M3
1,87,12,1362.026167,41.462375,728.163625,591.896167,easy,long,short,M3
1,86,524,32097.155625,42.184334,611.680125,31442.855,easy,long,long,M3
1,89,9,1266.221042,41.084167,799.195333,425.2945,easy,long,short,M3
1,88,582,35606.504875,41.174875,605.146666,34959.755959,easy,long,long,M3
1,83,34,2560.345417,41.445833,754.165083,1764.2555,easy,long,short,M3
1,82,638,39417.280584,41.28675,693.460583,38682.111375,easy,long,long,M3
1,89,4,935.567875,41.663916,733.685083,159.556375,easy,long,short,M3
