prompts,input_tokens,output_tokens,total_time,load_time,prompt_eval_time,output_eval_time,prompt_complexity,prompt_length,output_length,device
1,88,39,956.6624,110.8928,16.5748,818.7185,easy,long,short,RTX4060
1,91,286,6206.1676,113.577,10.812,6080.2982,easy,long,long,RTX4060
1,87,58,1346.7978,115.6922,12.5809,1217.7133,easy,long,short,RTX4060
1,90,461,9976.4971,119.0068,11.2626,9845.7241,easy,long,long,RTX4060
1,76,54,1266.2038,116.9247,11.4673,1137.2932,easy,long,short,RTX4060
1,79,721,15519.1515,123.0794,13.7948,15379.8607,easy,long,long,RTX4060
1,89,39,947.5234,120.164,10.2425,808.0097,easy,long,short,RTX4060
1,92,218,4719.4385,114.7197,10.4214,4580.6431,easy,long,long,RTX4060
1,77,41,1038.061,123.0891,12.9723,901.0307,easy,long,short,RTX4060
1,80,354,7694.422,112.3739,15.0074,7567.0407,easy,long,long,RTX4060
1,84,31,802.3891,128.8288,11.2445,652.9077,easy,long,short,RTX4060
1,87,240,5197.2039,142.693,16.5402,5027.4185,easy,long,long,RTX4060
1,80,53,1240.0374,113.8938,10.2433,1105.8089,easy,long,short,RTX4060
1,83,381,8241.4827,125.7501,11.2518,8102.4099,easy,long,long,RTX4060
1,87,9,353.4316,124.985,11.8785,214.1399,easy,long,short,RTX4060
1,90,143,3117.6284,121.1001,13.3981,2982.6267,easy,long,long,RTX4060
1,86,25,673.6504,123.4558,11.3556,534.7531,easy,long,short,RTX4060
1,89,257,5673.0257,118.0519,11.6673,5542.4771,easy,long,long,RTX4060
1,82,9,342.4142,134.1836,10.3543,192.9078,easy,long,short,RTX4060
1,85,325,7097.71,129.9216,11.3702,6945.8342,easy,long,long,RTX4060
1,89,35,886.6655,132.6665,11.1478,739.9668,easy,long,short,RTX4060
1,92,264,5751.5306,117.7569,12.1533,5611.2137,easy,long,long,RTX4060
1,78,76,1719.343,112.8438,11.4159,1588.7026,easy,long,short,RTX4060
1,81,380,8234.9711,124.3882,10.4203,8099.6285,easy,long,long,RTX4060
1,75,22,634.6462,147.2052,16.9944,461.7454,easy,long,short,RTX4060
1,78,310,6667.3244,123.4781,12.0686,6529.786,easy,long,long,RTX4060
1,88,29,738.0095,113.0944,11.5708,607.1817,easy,long,short,RTX4060
1,91,98,2165.2116,118.2113,11.3365,2022.8633,easy,long,long,RTX4060
1,81,43,1034.9421,127.6063,13.7652,884.6961,easy,long,short,RTX4060
1,84,358,7722.811,117.8836,10.878,7593.5436,easy,long,long,RTX4060
1,81,58,1359.6641,118.4894,11.8427,1227.0225,easy,long,short,RTX4060
1,84,407,8898.1499,150.0643,11.4619,8725.4867,easy,long,long,RTX4060
1,78,46,1097.8398,113.3723,12.6701,963.6235,easy,long,short,RTX4060
1,81,453,9815.9266,126.7476,11.4631,9663.8744,easy,long,long,RTX4060
1,79,67,1528.6917,112.3087,11.7774,1398.5401,easy,long,short,RTX4060
1,82,533,11497.1365,118.7534,11.3432,11363.1095,easy,long,long,RTX4060
1,80,48,1158.9173,126.2614,12.158,1016.9663,easy,long,short,RTX4060
1,83,673,14459.9664,122.2408,10.688,14321.5367,easy,long,long,RTX4060
1,86,26,694.0935,123.8198,12.1549,549.2027,easy,long,short,RTX4060
1,89,297,6531.7337,209.6875,10.363,6309.2143,easy,long,long,RTX4060
1,81,5,240.2132,103.5914,14.4489,121.6677,easy,long,short,RTX4060
1,84,138,3068.1639,144.4455,14.6932,2908.5198,easy,long,long,RTX4060
1,81,32,838.5741,149.8852,12.4222,675.7593,easy,long,short,RTX4060
1,84,12,425.0233,151.82,12.1363,260.2457,easy,long,long,RTX4060
1,91,15,487.6552,143.6829,10.6207,329.0144,easy,long,short,RTX4060
1,94,294,6424.3099,146.9813,12.1964,6264.6266,easy,long,long,RTX4060
1,84,12,426.9275,154.9658,12.4238,258.7994,easy,long,short,RTX4060
1,87,345,7584.6557,179.573,11.5873,7392.7305,easy,long,long,RTX4060
1,79,63,1493.9769,150.289,16.7188,1325.9308,easy,long,short,RTX4060
1,82,368,8069.7985,144.9668,11.4729,7912.853,easy,long,long,RTX4060
1,82,56,1337.722,148.3734,14.705,1174.1391,easy,long,short,RTX4060
1,85,549,11883.4775,150.5148,10.6729,11715.2464,easy,long,long,RTX4060
1,81,53,1250.6269,130.8564,11.076,1107.282,easy,long,short,RTX4060
1,84,377,8157.7197,125.8653,11.5683,8016.7291,easy,long,long,RTX4060
1,82,41,992.204,124.3877,9.812,844.5605,easy,long,short,RTX4060
1,85,372,8038.7164,120.1837,13.5238,7898.4023,easy,long,long,RTX4060
1,84,11,378.9833,126.5456,13.9733,236.3925,easy,long,short,RTX4060
1,87,308,6725.319,137.1202,11.458,6576.2352,easy,long,long,RTX4060
1,78,67,1546.078,115.8304,12.0415,1399.2461,easy,long,short,RTX4060
1,81,518,11252.2312,123.5176,14.6181,11107.9805,easy,long,long,RTX4060
1,84,46,1085.7944,112.9967,11.7,950.8976,easy,long,short,RTX4060
1,87,620,13394.1021,117.1849,11.509,13263.4132,easy,long,long,RTX4060
1,84,21,576.9051,118.2067,11.985,437.807,easy,long,short,RTX4060
1,87,358,7806.7532,114.2483,11.5631,7678.2758,easy,long,long,RTX4060
8,507,196,4484.1415,123.3403,46.1852,4301.85,easy,long,short,RTX4060
8,510,541,11819.3586,116.983,54.9928,11646.8481,easy,long,long,RTX4060
8,499,141,3324.0308,113.5397,43.6157,3157.7345,easy,long,short,RTX4060
8,502,619,13800.2341,138.3514,54.503,13603.7657,easy,long,long,RTX4060
